TSNE1;TSNE2
97.5118;19.43988
92.993454;21.303856
77.950195;-55.26594
80.917305;-56.350098
16.793665;39.60952
35.73546;-74.36896
-15.334592;-31.35225
78.84117;-55.49159
-11.47582;-78.57675
-56.220375;6.034116
-39.44047;2.3528814
-39.436424;2.3604414
-16.26249;-27.927925
37.515114;-73.877
3.4291637;8.116596
-23.18769;12.129887
49.590015;-100.13388
4.0341754;-32.97593
45.26293;85.447395
61.388634;11.189857
2.6794882;-29.80784
60.548088;11.299811
-14.380653;-70.357315
67.50108;-36.435234
-15.306282;-92.31364
-52.894047;10.890754
13.814795;-20.578485
82.13079;-59.369972
4.1948023;-33.700314
-14.503034;-75.292175
3.95169;-33.2827
83.29271;-60.134716
-4.96242;-17.51531
47.482582;87.409065
50.1689;-98.44361
72.68969;45.85339
65.619026;-60.464798
-16.676868;-29.707123
-14.511705;-32.54162
-14.344188;-23.389486
85.224464;-1.3556637
84.392815;-65.2132
68.471985;-39.275314
-15.818896;-79.14621
-9.266234;-18.143332
70.31669;73.71101
49.887157;87.29608
46.826416;-99.114624
-48.391;99.73554
-48.256622;100.78397
-25.151262;-25.9417
-48.419323;100.912056
30.79807;-30.227385
50.853386;-98.063515
84.47336;-61.653637
47.589363;-99.702385
80.79189;-18.32976
1.6724063;-30.157532
80.900375;-18.376629
76.43196;-70.85741
96.136215;-16.84458
37.1228;-74.73852
6.062836;-16.248909
94.23991;20.971012
46.906254;-99.07781
47.070515;-99.560394
-14.766787;-31.036394
46.868103;-99.13929
70.65492;-82.559654
112.00606;-12.693621
-14.315792;-31.94342
-20.545704;-82.63782
95.19258;16.032658
1.1570858;-13.498484
46.4146;89.98612
77.956375;-56.895058
5.4790344;-13.898564
-0.54268456;-12.017217
48.053535;91.3712
49.520508;40.826294
-8.5032625;-17.430052
8.967038;-14.8415575
-17.697248;-26.05133
25.050005;57.077614
84.74165;-66.4898
46.99597;-99.781746
-12.619553;-23.998129
35.2835;105.58345
58.407333;-10.577905
51.758297;-97.05291
23.331656;46.859562
2.7361758;4.570645
46.95759;57.76137
51.813663;-97.07668
-10.035493;-20.670113
-42.136246;-50.89613
-3.297177;-13.94756
-4.942964;33.51214
-15.993005;-31.940798
67.09099;46.05943
45.20227;85.55183
86.399704;58.532356
111.12753;-13.390433
-32.670734;-81.23691
61.360123;-11.912067
-10.703127;-18.576242
49.47982;87.68692
65.93132;-65.88181
-3.349901;-16.99557
-45.013367;97.56565
67.34008;53.80158
97.41125;20.353516
97.77398;21.144466
-19.601645;-80.40438
10.435277;-89.10352
63.41616;-61.678196
-3.7508368;-15.662456
51.20199;89.02187
5.033548;-13.348918
-15.897059;-74.779816
-14.640665;-23.681568
81.534935;-8.5884285
4.3040023;6.714469
81.925674;-58.719093
67.62124;73.2116
-50.891827;-8.633646
79.37279;-55.67431
84.71139;-62.49336
29.989845;44.699818
-11.552145;-18.74599
-51.079586;-8.686665
-16.091808;-93.474594
-6.094021;-16.501299
-23.275105;-82.00295
-10.833311;-25.161388
47.44991;90.87992
-51.446938;18.303074
32.30031;48.66382
65.64501;-66.07224
25.29772;108.11017
26.854595;97.93959
26.885767;97.77088
25.211176;108.213684
-49.125668;99.49321
30.053823;-56.241528
-49.094776;99.47941
-15.95641;-74.63296
50.743004;87.761086
-28.777077;87.47924
-20.425997;-82.47501
-15.934098;-31.953821
-16.257177;-73.70343
59.459873;39.194904
4.868442;7.170458
96.31703;20.465637
3.0938764;10.241538
84.560295;-41.891666
2.2203758;3.617965
65.32019;-66.20883
1.4447898;5.6185975
3.617861;5.75955
-46.57072;101.17773
84.6787;-65.18318
-1.8286623;-12.732444
-46.55971;101.138794
-20.945255;-80.67322
-16.675758;-70.6175
77.87352;-58.768414
48.23789;91.54147
68.56139;-87.33563
71.688385;-46.75327
-50.12038;101.51366
-50.144302;101.51677
-50.904625;-8.64703
-18.465052;-27.547876
68.82411;-86.57707
-92.00268;-48.53178
-84.716545;-48.90267
-84.81835;-48.946037
-84.75338;-48.910732
-86.096924;-47.97599
-86.15371;-47.895046
48.78742;86.30595
2.7230153;4.7557406
6.0920777;-16.202398
29.165625;-34.80197
51.84574;40.779
103.83888;13.600028
104.171684;13.426753
68.72631;-86.69773
-28.74887;87.48634
-16.7162;-31.984146
92.97602;21.30814
3.6307614;-26.64651
-33.009426;-81.48296
-14.751967;-23.524813
-16.088129;-69.35695
-19.11135;-27.346031
48.186306;-100.61776
-20.648651;-81.22312
62.799355;-88.19779
84.26146;-65.08058
35.798252;-74.31494
46.63481;64.54009
69.16934;84.62812
4.089696;-30.931032
-90.182175;-48.485813
20.94367;-14.498333
-22.247116;48.03049
47.419598;63.525658
35.0975;105.34807
-66.46593;24.241405
33.81435;104.47443
0.007832395;-12.370673
-3.1495893;-12.283092
97.26219;19.997023
47.68345;-27.972197
9.212631;-89.29382
-16.926346;-32.09296
-16.16815;-72.94153
56.477608;1.1298697
-24.56817;-80.38449
-6.088763;71.593506
-11.873538;-19.66029
51.91995;-98.03138
-60.582695;14.338267
72.87717;-46.04567
82.30007;-56.332603
5.899699;-15.784315
57.662804;-2.938539
-8.174954;-18.369963
69.39059;71.33855
28.412603;-1.6151657
-10.740426;39.376904
-48.43446;100.966064
-13.077308;-34.067856
15.833677;-6.816387
81.69179;-58.510426
46.695732;64.4302
48.291977;90.66285
-13.562839;-23.228811
78.12205;-55.348766
-54.39408;7.8133645
23.177826;46.740868
32.93342;48.459923
34.895855;105.39934
9.75453;-23.769463
97.95941;18.558674
90.30505;47.064125
-12.523738;-20.682447
67.76451;-86.648674
67.81528;-86.65529
1.4873043;-10.919033
4.0273547;-33.080177
16.792618;-10.834588
74.6018;13.308556
108.99362;12.276848
77.91;-58.37235
2.8439443;7.9623866
1.0162308;-17.47286
-4.8449993;33.245113
30.737524;-35.78642
84.858055;-60.11406
97.64249;21.161602
97.252975;20.17569
37.85268;-44.52012
50.96626;-98.06624
97.5454;21.124016
-20.201075;-30.393166
5.201787;-13.962804
46.49021;90.00169
82.53162;-59.20909
32.13021;48.60428
64.73834;26.159687
23.200613;46.799362
-21.916618;-80.38007
44.607365;86.551285
-16.21433;-23.919287
16.857603;48.12825
82.20559;-59.440895
-4.2833867;-15.32999
-6.4172482;-79.93877
-87.32749;-47.808422
29.347025;-36.933323
33.084198;48.404274
47.054756;42.454697
-10.577549;-19.889353
2.984445;-32.496277
1.5569639;4.1300793
62.343876;11.58612
95.562225;20.84779
4.7544446;-13.26836
95.497696;20.902206
67.365585;-89.01194
70.05642;69.874115
96.572945;20.380692
13.151001;74.072044
1.2828503;75.77276
-25.547173;-81.68862
68.57396;-81.55611
83.04618;0.42475697
13.0987625;74.25926
60.801662;11.214232
-46.193504;98.40454
104.598;4.7069736
-8.947934;-20.089594
48.131084;91.30762
75.821625;-18.746021
17.29004;39.754005
82.3119;74.86002
-106.73017;-19.015549
29.317276;-36.15548
-22.009703;-28.98224
-23.44216;12.016343
67.8716;35.054623
-20.977175;-82.702415
70.948425;-45.88899
92.03252;-35.9459
70.84004;-47.132133
68.92971;71.536835
92.024185;-35.978004
24.188297;-17.146315
-8.9804735;-78.52002
3.5304327;-13.619728
67.262566;72.69652
52.946648;-99.41217
6.767699;-12.679757
-1.6278812;3.8559122
84.20175;-54.82413
98.00251;21.990185
-7.230941;-19.439304
-46.288647;98.39371
-46.260742;98.386734
63.98916;0.8094825
2.4748094;-13.308657
-15.556309;-26.229048
45.609337;87.75362
67.68338;74.279625
50.051292;-98.43893
50.079468;-98.42016
82.26808;-58.80915
2.6370597;6.6637125
68.39771;-87.33095
16.734917;48.12186
82.32644;-59.480686
-67.67973;21.843597
-90.40827;-48.25607
-22.35476;-29.578876
-28.65636;87.5116
3.1815526;124.64339
2.1355586;7.0690713
77.88797;-55.24712
-10.406802;-20.607836
6.725616;-12.212767
-8.520048;-15.073114
-62.518883;14.2594
49.14868;87.36427
49.526237;85.92461
68.494385;-39.3279
103.348694;-1.8445146
102.24264;-2.0427685
-57.64943;-38.17145
44.70297;86.27868
83.40079;-54.656696
-10.140883;-40.95784
-67.10687;36.83755
-71.671745;17.398941
-19.056444;-27.222895
-12.8188;-35.132126
69.54406;-85.82619
